day,u_casemix,u_incident,u_incident_shift,u_arr_morning,u_arr_evening,u_arr_night,u_bedhrs_morning,u_bedhrs_evening,u_bedhrs_night,u_abs_doctor_morning,u_abs_doctor_evening,u_abs_doctor_night,u_abs_nurse_morning,u_abs_nurse_evening,u_abs_nurse_night,u_abs_tech_morning,u_abs_tech_evening,u_abs_tech_night
1,0.178935,0.648601,0.854826,0.443865,0.68227,0.602965,0.774775,0.94288,0.6546,0.565801,0.189225,0.241721,0.025037,0.037496,0.33593,0.254184,0.701133,0.227999
2,0.639913,0.982299,0.328221,0.828814,0.624251,0.694084,0.544082,0.103,0.99366,0.652209,0.312357,0.811822,0.822115,0.448332,0.310652,0.92295,0.194517,0.142558
3,0.467268,0.193808,0.955295,0.491193,0.029216,0.604502,0.482403,0.730969,0.096391,0.743974,0.442165,0.023922,0.044404,0.195788,0.849439,0.373247,0.459401,0.423987
4,0.370501,0.964986,0.022325,0.62094,0.880046,0.675948,0.725194,0.499067,0.641294,0.470533,0.410003,0.563632,0.378869,0.342929,0.507827,0.703223,0.532622,0.709277
5,0.354917,0.949783,0.775547,0.539826,0.575858,0.51501,0.290795,0.165023,0.623251,0.524495,0.200316,0.104679,0.718193,0.985918,0.996675,0.530081,0.677194,0.667643
6,0.790518,0.918171,0.986898,0.770287,0.702253,0.591267,0.93805,0.316207,0.86103,0.196604,0.80387,0.626932,0.63775,0.410744,0.629046,0.628441,0.807289,0.584568
7,0.905144,0.423575,0.46346,0.398789,0.762144,0.531945,0.173514,0.619599,0.936589,0.510094,0.576538,0.161848,0.663856,0.971083,0.96496,0.676592,0.405346,0.318743
8,0.177353,0.783966,0.578879,0.249901,0.337318,0.077921,0.760968,0.918102,0.569836,0.656536,0.399994,0.085807,0.838741,0.448234,0.148781,0.13712,0.820214,0.708025
9,0.652785,0.485872,0.615366,0.122189,0.890362,0.778112,0.988421,0.62659,0.698979,0.551159,0.135079,0.01312,0.711826,0.655827,0.603118,0.282186,0.857569,0.322764
10,0.298303,0.819875,0.214045,0.227924,0.026261,0.057533,0.499291,0.889628,0.093026,0.35951,0.403114,0.177833,0.340784,0.666658,0.424801,0.60123,0.567097,0.792554
11,0.966962,0.263599,0.747362,0.194255,0.826259,0.122665,0.314795,0.032773,0.672621,0.884957,0.628179,0.223877,0.693417,0.151595,0.62443,0.183678,0.520551,0.854087
12,0.91985,0.761633,0.817132,0.169195,0.726071,0.839234,0.858555,0.61461,0.167129,0.728552,0.502812,0.98344,0.547719,0.372395,0.556001,0.653954,0.051374,0.963402
13,0.635871,0.161482,0.896211,0.854373,0.966241,0.632367,0.953904,0.555936,0.5041,0.140662,0.651842,0.641861,0.761295,0.032907,0.521972,0.375879,0.566542,0.167124
14,0.752732,0.293099,0.68886,0.717441,0.923477,0.939627,0.610917,0.79563,0.513911,0.69868,0.021037,0.925274,0.796059,0.22428,0.399612,0.34875,0.729882,0.460148
15,0.515154,0.426981,0.142095,0.00568,0.738341,0.663563,0.107191,0.937946,0.148215,0.418894,0.456114,0.225956,0.141629,0.396355,0.548489,0.689494,0.17745,0.162271
16,0.825895,0.14981,0.106336,0.85228,0.21867,0.743963,0.467812,0.355995,0.580531,0.93335,0.564363,0.235392,0.716476,0.407187,0.940439,0.047548,0.118756,0.083025
17,0.448381,0.275751,0.380791,0.894809,0.061187,0.248849,0.159159,0.774417,0.708162,0.161482,0.822832,0.911738,0.73756,0.003274,0.561865,0.295509,0.262873,0.287703
18,0.338812,0.715172,0.657093,0.473792,0.875385,0.901201,0.101552,0.077492,0.10194,0.228678,0.91636,0.709883,0.696508,0.601422,0.398401,0.466519,0.499592,0.022812
19,0.277899,0.71155,0.232399,0.350827,0.955277,0.873925,0.635023,0.860851,0.605212,0.15616,0.483522,0.323746,0.171605,0.84769,0.653462,0.904904,0.027232,0.912035
20,0.226333,0.836559,0.678363,0.307722,0.930625,0.133984,0.958097,0.703387,0.341585,0.488017,0.53352,0.85245,0.060128,0.101981,0.526238,0.058397,0.836455,0.903698
21,0.525817,0.908216,0.54166,0.283008,0.604848,0.123495,0.45439,0.826119,0.810131,0.056783,0.472618,0.945134,0.758601,0.766597,0.906351,0.556338,0.603265,0.001988
22,0.430912,0.256557,0.57986,0.455507,0.782033,0.114954,0.75051,0.611542,0.684512,0.81546,0.924415,0.409664,0.722859,0.092801,0.091113,0.353818,0.496513,0.041574
23,0.663181,0.743723,0.609869,0.71771,0.883085,0.901715,0.168853,0.132945,0.295766,0.520001,0.571852,0.693616,0.931724,0.025051,0.082123,0.913492,0.106647,0.373421
24,0.01284,0.156229,0.853361,0.781551,0.679756,0.786074,0.112714,0.696613,0.509755,0.93616,0.160858,0.127232,0.815011,0.977571,0.922594,0.239904,0.03308,0.301439
25,0.447702,0.676422,0.998864,0.122055,0.561539,0.958723,0.60124,0.435479,0.41333,0.836581,0.032518,0.343821,0.26419,0.776463,0.583278,0.499392,0.677561,0.386106
26,0.365181,0.018431,0.081627,0.956737,0.596737,0.613945,0.415558,0.986367,0.513075,0.308609,0.084013,0.868596,0.869273,0.810601,0.068637,0.024158,0.636583,0.586659
27,0.195398,0.037031,0.877801,0.595439,0.441516,0.289945,0.538625,0.028049,0.68705,0.434393,0.14085,0.396976,0.355947,0.733668,0.213084,0.429192,0.664887,0.956417
28,0.594866,0.836218,0.979247,0.243913,0.467872,0.214967,0.583867,0.076086,0.886345,0.86847,0.83611,0.089265,0.835106,0.354723,0.577375,0.072764,0.827518,0.153087
29,0.435313,0.722889,0.258859,0.234235,0.087578,0.447436,0.279826,0.700247,0.593569,0.513739,0.54754,0.616334,0.398615,0.026597,0.15693,0.434673,0.63666,0.076298
30,0.299992,0.298912,0.074916,0.594767,0.519361,0.145235,0.984783,0.839406,0.876444,0.095826,0.30808,0.424769,0.69593,0.091648,0.396041,0.011884,0.148336,0.575454
31,0.209416,0.748878,0.203276,0.834486,0.676719,0.622775,0.184485,0.737467,0.904172,0.640555,0.209123,0.451967,0.665694,0.481768,0.482756,0.523091,0.914479,0.463874
32,0.874624,0.312931,0.37253,0.199057,0.736015,0.705387,0.984981,0.770757,0.191453,0.680286,0.397173,0.088875,0.452422,0.465696,0.014857,0.565418,0.271443,0.581744
33,0.797462,0.558593,0.626731,0.433912,0.688397,0.249533,0.517027,0.058768,0.596507,0.689418,0.426738,0.501295,0.337782,0.569321,0.131305,0.528743,0.777423,0.698424
34,0.60671,0.774186,0.530751,0.568873,0.411905,0.484549,0.062758,0.404365,0.607415,0.63771,0.848486,0.001656,0.245576,0.87545,0.950733,0.120586,0.934936,0.834457
35,0.345101,0.191457,0.205849,0.48766,0.402568,0.238494,0.769566,0.038923,0.09782,0.190816,0.206609,0.391104,0.13393,0.17722,0.147648,0.583098,0.66975,0.088971
36,0.94682,0.363215,0.07949,0.442233,0.738556,0.61314,0.11699,0.147951,0.007383,0.958588,0.693407,0.448097,0.809377,0.144217,0.503086,0.251189,0.958172,0.25843
